Subject,Start date,Start Time,End Date,End Time,Description,Notes
(A) School,8/19/2024,7:45:00 AM,8/19/2024,2:25:00 PM,(DAY 1)                                                                                                 First Day Of School,First Day Of School
(B) School,8/20/2024,7:45:00 AM,8/20/2024,2:25:00 PM,(DAY 2)                            ,
(A) School,8/21/2024,7:45:00 AM,8/21/2024,2:25:00 PM,(DAY 3)                            ,
(B) School,8/22/2024,7:45:00 AM,8/22/2024,2:25:00 PM,(DAY 4)                            ,
(A) School,8/23/2024,7:45:00 AM,8/23/2024,12:25:00 PM,(DAY 5)                            ,
(B) School,8/26/2024,7:45:00 AM,8/26/2024,2:25:00 PM,(DAY 6)                            ,
(A) School,8/27/2024,7:45:00 AM,8/27/2024,2:25:00 PM,(DAY 7)                            ,
(B) School,8/28/2024,7:45:00 AM,8/28/2024,2:25:00 PM,(DAY 8)                            ,
(A) School,8/29/2024,7:45:00 AM,8/29/2024,2:25:00 PM,(DAY 9)                            ,
(B) School,8/30/2024,7:45:00 AM,8/30/2024,12:25:00 PM,(DAY 10)                            ,
(A) School,9/3/2024,7:45:00 AM,9/3/2024,2:25:00 PM,(DAY 11)                            ,
(B) School,9/4/2024,7:45:00 AM,9/4/2024,2:25:00 PM,(DAY 12)                            ,
(A) School,9/5/2024,7:45:00 AM,9/5/2024,2:25:00 PM,(DAY 13)                            ,
(B) School,9/6/2024,7:45:00 AM,9/6/2024,12:25:00 PM,(DAY 14)                            ,
(A) School,9/9/2024,7:45:00 AM,9/9/2024,2:25:00 PM,(DAY 15)                            ,
(B) School,9/10/2024,7:45:00 AM,9/10/2024,2:25:00 PM,(DAY 16)                            ,
(A) School,9/11/2024,7:45:00 AM,9/11/2024,2:25:00 PM,(DAY 17)                            ,
(B) School,9/12/2024,7:45:00 AM,9/12/2024,2:25:00 PM,(DAY 18)                            ,
(A) School,9/13/2024,7:45:00 AM,9/13/2024,12:25:00 PM,(DAY 19)                            ,
(B) School,9/16/2024,7:45:00 AM,9/16/2024,2:25:00 PM,(DAY 20)                            ,
(A) School,9/17/2024,7:45:00 AM,9/17/2024,2:25:00 PM,(DAY 21)                            ,
(B) School,9/18/2024,7:45:00 AM,9/18/2024,2:25:00 PM,(DAY 22)                            ,
(A) School,9/19/2024,7:45:00 AM,9/19/2024,2:25:00 PM,(DAY 23)                            ,
(B) School,9/20/2024,7:45:00 AM,9/20/2024,12:25:00 PM,(DAY 24)                            ,
(A) School,9/23/2024,7:45:00 AM,9/23/2024,2:25:00 PM,(DAY 25)                            PTC,PTC
(B) School,9/24/2024,7:45:00 AM,9/24/2024,2:25:00 PM,(DAY 26)                            PTC,PTC
(A) School,9/25/2024,7:45:00 AM,9/25/2024,2:25:00 PM,(DAY 27)                            ,
(B) School,9/26/2024,7:45:00 AM,9/26/2024,2:25:00 PM,(DAY 28)                            Early Out,Early Out
(A) School,9/30/2024,7:45:00 AM,9/30/2024,2:25:00 PM,(DAY 29)                            ,
(B) School,10/1/2024,7:45:00 AM,10/1/2024,2:25:00 PM,(DAY 30)                            ,
(A) School,10/2/2024,7:45:00 AM,10/2/2024,2:25:00 PM,(DAY 31)                            ,
(B) School,10/3/2024,7:45:00 AM,10/3/2024,2:25:00 PM,(DAY 32)                            ,
(A) School,10/4/2024,7:45:00 AM,10/4/2024,12:25:00 PM,(DAY 33)                            ,
(B) School,10/7/2024,7:45:00 AM,10/7/2024,2:25:00 PM,(DAY 34)                            ,
(A) School,10/8/2024,7:45:00 AM,10/8/2024,2:25:00 PM,(DAY 35)                            ,
(B) School,10/9/2024,7:45:00 AM,10/9/2024,2:25:00 PM,(DAY 36)                            ,
(A) School,10/10/2024,7:45:00 AM,10/10/2024,2:25:00 PM,(DAY 37)                            ,
(B) School,10/11/2024,7:45:00 AM,10/11/2024,12:25:00 PM,(DAY 38)                            ,
(A) School,10/14/2024,7:45:00 AM,10/14/2024,2:25:00 PM,(DAY 39)                            ,
(B) School,10/15/2024,7:45:00 AM,10/15/2024,2:25:00 PM,(DAY 40)                            ,
(A) School,10/16/2024,7:45:00 AM,10/16/2024,2:25:00 PM,(DAY 41)                            ,
(B) School,10/22/2024,7:45:00 AM,10/22/2024,2:25:00 PM,(DAY 42)                            ,
(A) School,10/23/2024,7:45:00 AM,10/23/2024,2:25:00 PM,(DAY 43)                            ,
(B) School,10/24/2024,7:45:00 AM,10/24/2024,2:25:00 PM,(DAY 44)                            ,
(A) School,10/25/2024,7:45:00 AM,10/25/2024,12:25:00 PM,(DAY 45)                            End Of Q1,End Of Q1
